Time,Learning rate,Train loss,Validation loss,MAE_energy
977.4774560928345,0.0001,22.182571176379874,5.324299453066716,5.325535489739475
1754.3618838787079,0.0001,8.263109591143005,7.8888966439710275,7.8876669784491895
2525.960713863373,0.0001,6.168877529174757,5.199538246598016,5.200261379810898
3297.7906515598297,0.0001,5.235123405099332,3.435690183135327,3.4357354525799204
4067.4635696411133,0.0001,4.596149534307277,3.7308287582771915,3.7313463590467
4842.88839173317,0.0001,4.070181253747372,3.350035261628312,3.3505206543933737
5619.135149240494,0.0001,3.7740883228351634,5.197683909088302,5.197592347408882
6395.749331474304,0.0001,3.5044965466077875,9.60951970405663,9.610592347545001
7174.864419937134,0.0001,3.3318332365992727,2.7800892254938336,2.780209103885179
7946.275474071503,0.0001,3.0308219594549843,2.6914457327902355,2.6916660265522077
8721.41484951973,0.0001,3.019484547890241,2.414816889706764,2.415148879051061
9495.530105829239,0.0001,2.617710617108613,2.7747749349184496,2.7742459270988444
10270.6619951725,0.0001,2.6069540890327816,3.3132668758215296,3.314181965636197
11045.851555347443,0.0001,2.4436037155837242,1.4791334076307463,1.4791916751667402
11816.742613077164,0.0001,2.2935481804825857,1.797363854905534,1.797832819683688
12587.710635662079,0.0001,2.3347955032642367,3.2946472953329806,3.2940139666823307
13364.909252405167,0.0001,2.373853468351907,3.025693391764748,3.0263310278136917
14145.217283248901,0.0001,2.119609357503861,1.5545536625739447,1.554826063213031
14929.356780052185,0.0001,2.0049429546142576,2.631581988918539,2.6318575101057284
15703.41093802452,0.0001,1.958293232457554,1.7389394209803373,1.7392371412278522
16477.79750943184,0.0001,1.9955034971852574,2.2797838085356816,2.2795273207628792
17259.169806957245,0.0001,1.80270206685153,1.260296552585188,1.2604791588244213
18034.30766558647,0.0001,1.7252961976193335,4.457670350000436,4.457624355145272
18809.649819374084,0.0001,1.7574486750107896,3.7550009031136646,3.75441783466535
19586.283767223358,0.0001,1.721972063302286,1.1820432756389032,1.1821582065036715
20362.594993829727,0.0001,1.6178013373502382,1.8441017610244663,1.8441238527513841
21134.067141532898,0.0001,1.6419666036440685,3.672474951317087,3.6725381900978142
21906.172832012177,0.0001,1.7059816903717226,3.3391004458885485,3.3390694827298444
22686.961907863617,0.0001,1.559216503504014,1.6440503880581434,1.64401680470574
23461.526512384415,0.0001,1.610251477694109,1.8197049879771565,1.81994603414294
24233.612360715866,0.0001,1.5250561397201092,1.4341080672011497,1.4342855497291267
25010.80004143715,0.0001,1.4742013218674292,2.873594691058135,2.8734706148104125
25781.899420261383,0.0001,1.4947510360839156,3.2470233542391385,3.2469521765777025
26558.926551103592,0.0001,1.486900134639701,1.0823643813045873,1.0824023176260622
27336.385839939117,0.0001,1.4229412098179628,1.185340902974525,1.1852759334875964
28107.014400482178,0.0001,1.3421333473813604,1.514989792019588,1.514844185642032
28880.79550766945,0.0001,1.3696872893005025,0.8655232138184366,0.865577677966497
29660.351536035538,0.0001,1.3172764181819263,2.410405006044462,2.4099822560065296
