 Time | Epoch | Learning rate | Train loss | Validation loss | MAE_energy | GPU Memory (MB)
27:21 |    73 |     1.000e-04 |     0.9298 |          0.8406 |     0.8406 |            7061
40:03 |    74 |     1.000e-04 |     0.9080 |          0.7711 |     0.7712 |            7061
52:37 |    75 |     1.000e-04 |     0.8988 |          1.5612 |     1.5614 |            7092
 Time | Epoch | Learning rate | Train loss | Validation loss | MAE_energy | GPU Memory (MB)
16:37 |    76 |     1.000e-04 |     0.9024 |          1.4649 |     1.4650 |            7059
29:18 |    77 |     1.000e-04 |     0.8934 |          1.8220 |     1.8218 |            7069
42:04 |    78 |     1.000e-04 |     0.8985 |          0.7182 |     0.7184 |            7158
54:52 |    79 |     1.000e-04 |     0.8849 |          0.7673 |     0.7674 |            7158
07:37 |    80 |     1.000e-04 |     0.9116 |          0.6937 |     0.6937 |            7158
20:20 |    81 |     1.000e-04 |     0.8686 |          0.6453 |     0.6454 |            7158
33:10 |    82 |     1.000e-04 |     0.8902 |          0.6946 |     0.6947 |            7158
45:57 |    83 |     1.000e-04 |     0.8752 |          2.8062 |     2.8064 |            7158
58:53 |    84 |     1.000e-04 |     0.8513 |          0.8400 |     0.8400 |            7158
11:37 |    85 |     1.000e-04 |     0.8581 |          3.4503 |     3.4503 |            7158
24:22 |    86 |     1.000e-04 |     0.8514 |          1.6080 |     1.6080 |            7158
37:12 |    87 |     1.000e-04 |     0.8396 |          1.5846 |     1.5847 |            7158
49:57 |    88 |     1.000e-04 |     0.8769 |          1.4511 |     1.4511 |            7158
02:45 |    89 |     1.000e-04 |     0.8478 |          1.4068 |     1.4068 |            7158
15:32 |    90 |     1.000e-04 |     0.8089 |          3.5104 |     3.5103 |            7158
28:21 |    91 |     1.000e-04 |     0.8377 |          0.9268 |     0.9268 |            7158
41:03 |    92 |     1.000e-04 |     0.8127 |          2.1150 |     2.1151 |            7158
53:46 |    93 |     1.000e-04 |     0.7814 |          1.8432 |     1.8431 |            7158
06:38 |    94 |     1.000e-04 |     0.8016 |          1.8479 |     1.8478 |            7158
19:25 |    95 |     1.000e-04 |     0.7983 |          1.3517 |     1.3516 |            7158
32:08 |    96 |     1.000e-04 |     0.7869 |          0.9910 |     0.9909 |            7158
44:47 |    97 |     1.000e-04 |     0.7765 |          0.5050 |     0.5051 |            7158
57:32 |    98 |     1.000e-04 |     0.7621 |          0.8261 |     0.8261 |            7158
10:19 |    99 |     1.000e-04 |     0.7920 |          0.6700 |     0.6700 |            7158
23:07 |   100 |     1.000e-04 |     0.8072 |          1.4239 |     1.4239 |            7158
35:53 |   101 |     1.000e-04 |     0.7928 |          0.7816 |     0.7817 |            7158
48:41 |   102 |     1.000e-04 |     0.7888 |          0.9639 |     0.9641 |            7158
01:30 |   103 |     1.000e-04 |     0.7705 |          1.1953 |     1.1953 |            7158
14:13 |   104 |     1.000e-04 |     0.7618 |          0.5832 |     0.5833 |            7158
27:07 |   105 |     1.000e-04 |     0.7474 |          1.0591 |     1.0590 |            7158
39:52 |   106 |     1.000e-04 |     0.7399 |          1.7833 |     1.7832 |            7158
52:40 |   107 |     1.000e-04 |     0.7712 |          2.3394 |     2.3395 |            7158
05:29 |   108 |     1.000e-04 |     0.7583 |          0.7547 |     0.7547 |            7158
18:19 |   109 |     1.000e-04 |     0.7562 |          2.0050 |     2.0051 |            7158
31:02 |   110 |     1.000e-04 |     0.7309 |          0.6647 |     0.6649 |            7158
43:48 |   111 |     1.000e-04 |     0.7479 |          1.4770 |     1.4770 |            7158
56:36 |   112 |     1.000e-04 |     0.7127 |          0.6951 |     0.6951 |            7158
